genename	refseq
VPS13B	NM_017890
PNPLA1	NM_001145717
ADAM12	NM_001288975
ADAM12	NM_001288974
ADAM12	NM_021641
SLC35A3	NM_001271684
ADAM12	NM_001288973
UBA1	NM_153280
TMEM258	NM_014206
LIPK	NM_001378091
LIPK	NM_001080518
UBA1	NM_003334
SLC35A3	NM_001271685
FEN1	NM_004111
ASS1	NM_054012
NDUFB11	NM_019056
ASS1	NM_000050
NDUFB11	NM_001135998
BCL6	NM_001706
ACADL	NM_001608
ZNF34	NM_001286769
ZNF34	NM_001378027
ZNF34	NM_001378028
BCL6	NM_001130845
AKTIP	NM_022476
AKTIP	NM_001012398
AKTIP	NM_001308325
FAM124B	NM_024785
TPD52L3	NM_033516
FAM124B	NM_001122779
ZNF34	NM_030580
BCL6	NM_001134738
NUP62CL	NM_017681
TPD52L3	NM_001001875
TPD52L3	NM_001001874
ZNF34	NM_001378029
ZNF34	NM_001286770
ZNF189	NM_001278231
ZNF189	NM_001278232
ZNF189	NM_197977
MPP7	NM_173496
MPP7	NM_001318170
ZNF189	NM_003452
ZNF189	NM_001278240
FUZ	NM_025129
FUZ	NM_001352262
PACS2	NM_001243127
CPA2	NM_001869
DNAAF6	NM_173494
RHBDF2	NM_024599
RHBDF2	NM_001005498
RHBDF2	NM_001376230
RHBDF2	NM_001376228
RHBDF2	NM_001376229
DNAAF6	NM_001169154
ITPRID2	NM_001287505
ST6GALNAC6	NM_001400832
ST6GALNAC6	NM_001287003
FUZ	NM_001171937
FUZ	NM_001363663
PACS2	NM_015197
PACS2	NM_001100913
PLCB1	NM_182734
YEATS2	NM_001351370
YEATS2	NM_018023
YEATS2	NM_001351371
YEATS2	NM_001351369
PLCB1	NM_015192
SPIRE2	NM_032451
CPA4	NM_001163446
CGAS	NM_138441
ST6GALNAC6	NM_001400830
ST6GALNAC6	NM_013443
ST6GALNAC6	NM_001388489
ST6GALNAC6	NM_001287002
CPA4	NM_016352
TEX22	NM_001195082
ST6GALNAC6	NM_001400835
ST6GALNAC6	NM_001287001
ST6GALNAC6	NM_001286999
ST6GALNAC6	NM_001400833
ST6GALNAC6	NM_001287000
ST6GALNAC6	NM_001400834
ST6GALNAC6	NM_001400831
ZNF658	NM_033160
ZNF658	NM_001317916
SFMBT2	NM_001018039
SFMBT2	NM_001387890
FADS1	NM_013402
MARS1	NM_004990
ENTREP1	NM_001127608
SFMBT2	NM_001029880
SFMBT2	NM_001387889
SFMBT2	NM_001387891
SENP2	NM_021627
TSHZ2	NM_173485
TSHZ2	NM_001193421
ENTREP1	NM_001347995
ENTREP1	NM_004816
OR2K2	NM_205859
RAPGEF6	NM_016340
ZNF217	NM_001385034
ZNF217	NM_006526
TUSC1	NM_001004125
AP3B2	NM_001278512
RAPGEF6	NM_001164387
AP3B2	NM_004644
C9orf153	NM_001276366
C9orf153	NM_001276367
C9orf153	NM_001276368
RAPGEF6	NM_001164386
KLF9	NM_001206
RAPGEF6	NM_001164388
ITPRID2	NM_001130445
ITPRID2	NM_006751
RAPGEF6	NM_001164389
ITPRID2	NM_001287503
ITPRID2	NM_001287504
RAPGEF6	NM_001164390
MBD6	NM_052897
TCF25	NM_014972
ASAH2	NM_001143974
ASAH2	NM_019893
FXYD4	NM_173160
KIF16B	NM_001199865
PUM3	NM_014878
KIF16B	NM_024704
PIP4K2C	NM_001146260
KIF16B	NM_001410853
HNRNPF	NM_001098208
KIF16B	NM_001199866
MC1R	NM_002386
PIP4K2C	NM_024779
HNRNPF	NM_001098207
PIP4K2C	NM_001146258
HNRNPF	NM_001098206
TP53INP2	NM_001329430
HNRNPF	NM_001098205
PIP4K2C	NM_001146259
HNRNPF	NM_001098204
HNRNPF	NM_004966
TP53INP2	NM_021202
TP53INP2	NM_001329429
TP53INP2	NM_001329431
RPL8	NM_001317771
RPL8	NM_033301
RPL8	NM_000973
RPL8	NM_001317782
GAS8	NM_001286209
AP3B2	NM_001278511
ZNF239	NM_005674
ZNF239	NM_001324347
ZNF239	NM_001099282
ZNF239	NM_001324352
ZNF239	NM_001324353
ZNF239	NM_001324350
ZNF239	NM_001324349
ATP7A	NM_000052
GAS8	NM_001286205
GAS8	NM_001286208
ZNF239	NM_001099284
ZNF239	NM_001324351
ZNF239	NM_001099283
ZNF239	NM_001324348
FADS3	NM_021727
AP3B2	NM_001348440
IL33	NM_001314044
IL33	NM_001314047
IL33	NM_001314045
IL33	NM_001353802
DTX3	NM_001286246
IL33	NM_001199641
MTA1	NM_004689
PLAAT1	NM_001366112
PLAAT1	NM_020386
IL33	NM_001314048
MTA1	NM_001411061
IL33	NM_001199640
IL33	NM_033439
IL33	NM_001314046
MTA1	NM_001411062
SEMA6A	NM_020796
DTX3	NM_178502
SEMA6A	NM_001300780
PYDC2	NM_001083308
ZNF485	NM_001318140
DTX3	NM_001286245
ZNF485	NM_145312
ZNF485	NM_001318142
ZNF485	NM_001318141
MTA1	NM_001203258
COMMD5	NM_001081004
COMMD5	NM_001287237
ZNF32	NM_001005368
ZNF32	NM_001324168
ZNF32	NM_001324165
ATP7A	NM_001282224
ZNF32	NM_006973
ZNF32	NM_001324167
ZNF32	NM_001324166
ZNF32	NM_001324164
COMMD5	NM_014066
GGT7	NM_001351702
GGT7	NM_178026
COMMD5	NM_001081003
GAS8	NM_001481
ZNF487	NM_001355446
ZNF487	NM_001355445
ZNF487	NM_001355448
ZNF487	NM_001355447
ZNF487	NM_001355444
ZNF487	NM_001355449
ZNF487	NM_001355450
MAPK10	NM_001351624
MAPK10	NM_138980
MAPK10	NM_138982
RS1	NM_000330
RAB3IL1	NM_013401
RAB3IL1	NM_001271686
DBNDD1	NM_001371581
ARHGEF25	NM_001111270
ARHGEF25	NM_182947
ARHGEF25	NM_001347933
CCNJ	NM_001134376
CCNJ	NM_019084
DBNDD1	NM_024043
DBNDD1	NM_001288708
FSD2	NM_001007122
CCNJ	NM_001134375
DBNDD1	NM_001042610
DBNDD1	NM_001288709
FSD2	NM_001281806
FSD2	NM_001281805
RANBP3L	NM_001323278
RANBP3L	NM_001323279
RANBP3L	NM_001323273
RANBP3L	NM_145000
RANBP3L	NM_001323280
RANBP3L	NM_001323277
RANBP3L	NM_001323275
RANBP3L	NM_001161429
RANBP3L	NM_001323276
RANBP3L	NM_001323274
WHAMM	NM_001080435
PNKP	NM_007254
PRF1	NM_005041
PRF1	NM_001083116
SENP8	NM_001166340
SENP8	NM_001172109
SENP8	NM_001172110
RNF168	NM_152617
PHKA2	NM_000292
SENP8	NM_001172111
SENP8	NM_145204
SUPT20HL1	NM_001136234
CRIP2	NM_001270837
DNAH7	NM_018897
CRIP2	NM_001270841
CRIP2	NM_001312
ZDHHC19	NM_001039617
ZNF250	NM_001363099
ZNF250	NM_001363104
ZNF250	NM_021061
ZNF250	NM_001363098
ZNF250	NM_001363100
ZNF250	NM_001109689
ZNF250	NM_001363102
ZNF250	NM_001363101
ZNF250	NM_001363103
ZNF250	NM_001363105
ZNF250	NM_001363106
ZNF250	NM_001363107
SUV39H1	NM_001282166
SUV39H1	NM_003173
SEC14L1	NM_001204408
TRIM36	NM_018700
TRIM36	NM_001300759
GLOD5	NM_001080489
GRAMD2A	NM_001012642
SEC14L1	NM_001204410
TRIM36	NM_001300752
ERAS	NM_181532
AGL	NM_000642
ADAMTS14	NM_080722
SEC14L1	NM_001143998
SEC14L1	NM_001143999
SEC14L1	NM_003003
AGL	NM_000644
SEC14L1	NM_001039573
ADAMTS14	NM_139155
TRIM36	NM_001017397
PCSK1N	NM_013271
AGL	NM_000643
TRIM36	NM_001017398
AGL	NM_000028
TMEM41A	NM_080652
ZNF16	NM_001413565
ZNF16	NM_006958
ZNF16	NM_001413564
ZNF16	NM_001413566
ZNF16	NM_001029976
PCBD1	NM_001289797
PCBD1	NM_000281
SEC14L1	NM_001144001
MB21D2	NM_178496
MYRF	NM_001127392
TBATA	NM_001318241
TBATA	NM_152710
MYRF	NM_013279
B4GALNT1	NM_001413973
B4GALNT1	NM_001413974
B4GALNT1	NM_001478
TBATA	NM_001318243
DEPDC5	NM_001242897
TBATA	NM_001318242
B4GALNT1	NM_001276468
B4GALNT1	NM_001276469
TLX1	NM_005521
TLX1	NM_001195517
MEIOC	NM_001145080
CRIP1	NM_001311
MYOD1	NM_002478
ECPAS	NM_001363756
ECPAS	NM_001364931
CALHM2	NM_015916
KCNC1	NM_004976
KCNC1	NM_001112741
CALHM1	NM_001001412
ECPAS	NM_001364929
ECPAS	NM_001364930
CCDC43	NM_144609
CALHM3	NM_001129742
CCDC43	NM_001099225
TSPAN31	NM_001330169
TSPAN31	NM_005981
TSPAN31	NM_001330168
DEPDC5	NM_001136029
DEPDC5	NM_001363852
DEPDC5	NM_001363854
P3H2	NM_018192
P3H2	NM_001134418
SLC12A3	NM_001126107
DBF4B	NM_025104
TMEM161B	NM_001349407
TMEM161B	NM_001289007
SLC12A3	NM_000339
SLC12A3	NM_001410896
SLC12A3	NM_001126108
DPP10	NM_020868
DPP10	NM_001321907
ACAT1	NM_001386682
ACAT1	NM_001386681
ACAT1	NM_001386688
ACAT1	NM_001386690
ACAT1	NM_001386691
ACAT1	NM_001386689
WDR53	NM_001345907
WDR53	NM_001345908
WDR53	NM_182627
WDR53	NM_001345909
WDR53	NM_001345910
WDR53	NM_001345906
WDR53	NM_001345915
WDR53	NM_001345912
WDR53	NM_001345914
WDR53	NM_001345913
WDR53	NM_001345911
DPP10	NM_001321910
DPP10	NM_001399849
DPP10	NM_001321913
DPP10	NM_001178036
DPP10	NM_001321912
DPP10	NM_001321908
DPP10	NM_001321905
DPP10	NM_001321911
DPP10	NM_001178037
DPP10	NM_001399851
DPP10	NM_001399850
DPP10	NM_001321914
WDR53	NM_001345917
WDR53	NM_001345918
DBF4B	NM_145663
DPP10	NM_001178034
DPP10	NM_001321906
DPP10	NM_001004360
DPP10	NM_001321909
MED25	NM_030973
MED25	NM_001378355
BEGAIN	NM_001385101
BEGAIN	NM_001385102
BEGAIN	NM_001385103
BEGAIN	NM_001385104
CDK4	NM_000075
AGL	NM_000646
TMEM161B	NM_153354
TMEM161B	NM_001349405
TMEM161B	NM_001349403
TMEM161B	NM_001349402
TMEM161B	NM_001349400
ACAT1	NM_001386685
ACAT1	NM_001386686
ACAT1	NM_001386679
ACAT1	NM_001386687
MROH1	NM_032450
BEGAIN	NM_001385092
BEGAIN	NM_001385090
BEGAIN	NM_001385084
BEGAIN	NM_001385100
BEGAIN	NM_001159531
BEGAIN	NM_001385086
BEGAIN	NM_001385087
BEGAIN	NM_001385088
ACAT1	NM_000019
SLC6A17	NM_001010898
BEGAIN	NM_001385091
TMEM161B	NM_001289008
MROH1	NM_001099280
MROH1	NM_001099281
MEST	NM_177524
ACAT1	NM_001386678
BEGAIN	NM_001385096
BEGAIN	NM_001385082
BEGAIN	NM_001385097
BEGAIN	NM_001385083
BEGAIN	NM_001385095
BEGAIN	NM_001385094
BEGAIN	NM_001385099
BEGAIN	NM_001385098
MROH1	NM_001288814
ACAT1	NM_001386677
BEGAIN	NM_020836
MEST	NM_001253901
BEGAIN	NM_001385093
BEGAIN	NM_001385089
BEGAIN	NM_001385085
TPRG1	NM_198485
PARP6	NM_001323522
PARP6	NM_001323531
PARP6	NM_001323521
PARP6	NM_001323524
PARP6	NM_001323516
PARP6	NM_020214
PARP6	NM_001323528
PARP6	NM_001323515
PARP6	NM_001323519
PARP6	NM_001323526
PARP6	NM_001323530
PARP6	NM_001323532
PARP6	NM_001323525
PARP6	NM_001323523
MEST	NM_001253902
NDOR1	NM_001144026
ACSS2	NM_001242393
ACSS2	NM_018677
MEST	NM_177525
PTPN20	NM_001352555
PTPN20	NM_001042365
PTPN20	NM_001352551
NDOR1	NM_001144027
ACSS2	NM_001076552
NDOR1	NM_001144028
NDOR1	NM_014434
MARCHF9	NM_138396
HSD3B2	NM_000198
VASH1	NM_014909
DEPDC5	NM_001369902
DEPDC5	NM_001369901
MEST	NM_001253900
MEST	NM_002402
HSD3B2	NM_001166120
METTL1	NM_005371
DEPDC5	NM_001364318
DEPDC5	NM_014662
METTL1	NM_023033
EXT1	NM_000127
DEPDC5	NM_001364319
DMRT2	NM_006557
DMRT2	NM_001370533
DMRT2	NM_001130865
DMRT2	NM_001387557
ADAM11	NM_002390
DEPDC5	NM_001369903
DMRT2	NM_001370531
ANGEL1	NM_001370748
ANGEL1	NM_015305
ANGEL1	NM_001370746
ANGEL1	NM_001370747
DMRT2	NM_181872
DMRT2	NM_001387558
DMRT2	NM_001370532
DMRT2	NM_001387559
DMRT2	NM_001387560
STAP2	NM_017720
STAP2	NM_001013841
EEF1AKMT3	NM_015433
UBXN7	NM_015562
EEF1AKMT3	NM_206914
MYH7B	NM_020884
ADAM11	NM_001318933
MIER3	NM_001297598
IRF2BPL	NM_024496
PIKFYVE	NM_152671
HERPUD1	NM_014685
HERPUD1	NM_001272103
MIER3	NM_152622
MIER3	NM_001297599
GJC1	NM_005497
DEPDC5	NM_001007188
GJC1	NM_001080383
DEPDC5	NM_001242896
ADIPOQ	NM_004797
HERPUD1	NM_001010989
ADIPOQ	NM_001177800
HIGD1B	NM_001271880
DEPDC5	NM_001364320
GALNT11	NM_001371458
GALNT11	NM_001371459
GALNT11	NM_001371468
GALNT11	NM_001371461
GALNT11	NM_001371460
GALNT11	NM_001371462
GALNT11	NM_001371467
GALNT11	NM_001371469
GALNT11	NM_001371466
GALNT11	NM_001371463
GALNT11	NM_001371464
GALNT11	NM_022087
GALNT11	NM_001371465
GALNT11	NM_001371475
GALNT11	NM_001371470
GALNT11	NM_001304514
RNPC3	NM_017619
HIGD1B	NM_016438
GALNT11	NM_001371474
LRRC74A	NM_194287
PTPN20	NM_001352540
GALNT11	NM_001371472
GALNT11	NM_001371471
GALNT11	NM_001371473
REXO2	NM_015523
AKT1S1	NM_001278160
TSFM	NM_001172695
AKT1S1	NM_001098632
AKT1S1	NM_001098633
LRRC74A	NM_001385108
LRRC74A	NM_001385106
LRRC74A	NM_001385107
AKT1S1	NM_001278159
SNX7	NM_152238
MIGA2	NM_032809
SNX7	NM_001364903
SNX7	NM_015976
AKT1S1	NM_032375
CKB	NM_001362531
TSFM	NM_001172696
MIGA2	NM_001329990
CKB	NM_001823
PIKFYVE	NM_015040
TSFM	NM_005726
PIKFYVE	NM_001178000
TSFM	NM_001172697
NXPE4	NM_017678
NXPE4	NM_001077639
MAPK10	NM_001363657
PTPRT	NM_001394025
SLC5A1	NM_000343
PTPRT	NM_001394024
PTPRT	NM_001394026
SLC5A1	NM_001256314
VWC2L	NM_001080500
PTPRT	NM_133170
VWC2L	NM_001345929
PTPRT	NM_007050
MAPK10	NM_001318069
COA8	NM_001302652
COA8	NM_001370595
MAPK10	NM_001318067
SLC30A7	NM_133496
SLC30A7	NM_001144884
YIPF2	NM_024029
ATP13A4	NM_032279
YIPF2	NM_001321439
CPSF4	NM_001081559
CPSF4	NM_001318160
COA8	NM_001302653
C12orf50	NM_152589
SEC22B	NM_004892
C12orf50	NM_001363616
TARS1	NM_001258437
YIPF2	NM_001321440
COA8	NM_001302654
CPSF4	NM_006693
TARS1	NM_152295
CPSF4	NM_001318162
CPSF4	NM_001318161
PTGFRN	NM_020440
GMNC	NM_001146686
CETP	NM_001286085
MAPK10	NM_002753
FBXO7	NM_012179
TARS1	NM_001258438
SMCO1	NM_001077657
SMCO1	NM_001320473
FBXO7	NM_001033024
CETP	NM_000078
PRKD1	NM_002742
FBXO7	NM_001257990
MAPK10	NM_001351625
PRKD1	NM_001330069
PRKD1	NM_001348390
EFTUD2	NM_004247
C12orf29	NM_001009894
CELF6	NM_052840
TIMP3	NM_000362
CELF6	NM_001172685
ZNF326	NM_181781
ZNF326	NM_182976
DMAC2L	NM_015684
ZNF326	NM_182975
CELF6	NM_001172684
DMAC2	NM_001167870
EFTUD2	NM_001258354
ATP5MF	NM_001003714
ZNF326	NM_001320185
ATP5MF	NM_004889
ATP5MF	NM_001039178
SYN3	NM_001369909
SYN3	NM_001369907
SYN3	NM_001135774
SYN3	NM_003490
SYN3	NM_001369910
SYN3	NM_001369908
SYN3	NM_133633
ATP5MF	NM_001003713
DMAC2L	NM_001382509
DMAC2L	NM_001382510
DMAC2L	NM_001003803
DMAC2	NM_018035
MAPK10	NM_001318068
DMAC2L	NM_001003805
DMAC2	NM_001167871
DMAC2L	NM_001370605
DMAC2L	NM_001382507
EFTUD2	NM_001258353
ARID3B	NM_001307939
DMAC2	NM_001320841
DMAC2	NM_001167868
EFTUD2	NM_001142605
DMAC2	NM_001320838
DMAC2	NM_001167869
DMAC2	NM_001320840
DMAC2	NM_001167867
ARID3B	NM_006465
DMAC2	NM_001320839
DRICH1	NM_016449
LRRC43	NM_152759
LRRC43	NM_001098519
DIO2	NM_001324462
DIO2	NM_013989
DIO2	NM_001366496
DMAC2	NM_001320844
DIO2	NM_000793
TRIM45	NM_025188
TRIM45	NM_001145635
ETV5	NM_004454
IL31	NM_001014336
CPNE2	NM_152727
B3GNT4	NM_001330492
ZNF789	NM_001351004
ZNF789	NM_001351002
ZNF789	NM_213603
ZNF789	NM_001351000
ZNF789	NM_001350999
B3GNT4	NM_030765
ZNF789	NM_001351001
ZNF789	NM_001013258
PTPN20	NM_001042357
PTPN20	NM_001352521
PTPN20	NM_001320685
PTPN20	NM_001352548
PTPN20	NM_001352547
PTPN20	NM_001352553
PTPN20	NM_001352549
PTPN20	NM_001320682
PTPN20	NM_015605
PTPN20	NM_001352523
PTPN20	NM_001352543
PTPN20	NM_001042363
PTPN20	NM_001352552
ZNF394	NM_032164
PTPN20	NM_001042364
PTPN20	NM_001352532
PTPN20	NM_001320681
PTPN20	NM_001352522
PTPN20	NM_001352554
ZNF394	NM_001345967
C3orf33	NM_001308229
FAM200A	NM_145111
C3orf33	NM_173657
CCDC103	NM_001258399
CCDC103	NM_001258398
TENT5C	NM_017709
ARL2BP	NM_012106
RAP2B	NM_002886
CCDC103	NM_213607
CCDC103	NM_001258396
CCDC103	NM_001258395
NUP50	NM_007172
CCDC103	NM_001258397
HM13	NM_030789
EPB41L5	NM_020909
EPB41L5	NM_001184937
EPB41L5	NM_001330307
EPB41L5	NM_001184939
HM13	NM_178580
HM13	NM_178581
EPB41L5	NM_001184938
AGBL1	NM_001386094
EPB41L5	NM_001330310
HM13	NM_178582
AGBL1	NM_152336
PTPN20	NM_001352527
PTPN20	NM_001352528
PTPN20	NM_001352529
PTPN20	NM_001352525
PTPN20	NM_001352530
PTPN20	NM_001352526
PTPN20	NM_001320691
PTPN20	NM_001042360
RTN1	NM_001363702
RTN1	NM_206852
VPS33A	NM_001351020
VPS33A	NM_022916
VPS33A	NM_001351018
VPS33A	NM_001351019
PTPN20	NM_001352534
PTPN20	NM_001320684
RTN1	NM_021136
EPHB3	NM_004443
NUP50	NM_153645
VPS33A	NM_001351021
KIF18B	NM_001264573
KIF18B	NM_001265577
FXYD1	NM_021902
PTPN20	NM_001042362
PTPN20	NM_001320686
C1QL1	NM_006688
FXYD1	NM_001278717
IKBIP	NM_201613
PTPN20	NM_001320689
FXYD1	NM_005031
PTPN20	NM_001320683
PTPN20	NM_001042361
PTPN20	NM_001352533
FXYD1	NM_001278718
IKBIP	NM_201612
PTPN20	NM_001042358
PTPN20	NM_001042359
PTPN20	NM_001352524
SYCP1	NM_001282541
SYCP1	NM_003176
PTPN20	NM_001352550
PTPN20	NM_001320690
PTPN20	NM_001352537
PTPN20	NM_001352538
PTPN20	NM_001352536
PTPN20	NM_001320688
PTPN20	NM_001352539
TMOD2	NM_014548
IKBIP	NM_153687
TMPRSS4	NM_001290094
TMPRSS4	NM_001173551
TMOD2	NM_001142885
ATXN10	NM_001167621
PTPN20	NM_001352542
PTPN20	NM_001352535
PTPN20	NM_001352531
PTPN20	NM_001352541
ATXN10	NM_013236
GYPC	NM_002101
OPN4	NM_001030015
TMPRSS4	NM_001290096
LIPH	NM_139248
PHAF1	NM_025187
PHAF1	NM_001320541
PHAF1	NM_001320543
PHAF1	NM_001320542
PHAF1	NM_001320540
TMPRSS4	NM_001173552
OPN4	NM_033282
GYPC	NM_016815
SYCP1	NM_001282542
GYPC	NM_001256584
UBL5	NM_001048241
UBL5	NM_024292
CD7	NM_006137
BNIP3	NM_004052
ZNF655	NM_024061
ZNF655	NM_001085367
ZNF655	NM_001085366
B3GNT9	NM_033309
WNT7B	NM_058238
EIF5A2	NM_020390
ZNF655	NM_138494
TMPRSS4	NM_019894
TRADD	NM_003789
TRADD	NM_001323552
TMPRSS4	NM_001083947
TRO	NM_001271183
AHI1	NM_001350503
ZNF655	NM_001083956
APOBEC3A	NM_145699
APOBEC3A	NM_001270406
AHI1	NM_001134831
AHI1	NM_001134830
ZNF655	NM_001085368
ZNF655	NM_001363332
ZNF655	NM_001363333
ZNF655	NM_001009958
ZNF655	NM_001009960
ZNF655	NM_001363334
FBXL8	NM_018378
TMPO	NM_001032283
TMPO	NM_001307975
MPZL2	NM_005797
SECTM1	NM_003004
AHI1	NM_001350504
AHI1	NM_017651
TMPO	NM_003276
MPZL2	NM_144765
TMPO	NM_001032284
CLN6	NM_017882
TMEM225B	NM_001195541
TMEM225B	NM_001195542
TMEM225B	NM_001195543
CYP2E1	NM_000773
CD96	NM_001318889
TEX19	NM_207459
GABRA2	NM_001377150
GABRA2	NM_001377147
GABRA2	NM_001377148
GABRA2	NM_001377153
GABRA2	NM_001377149
GABRA2	NM_001377154
GABRA2	NM_001377146
GABRA2	NM_001377152
GABRA2	NM_000807
GABRA2	NM_001114175
GABRA2	NM_001377151
MATCAP1	NM_001369686
MATCAP1	NM_001369684
MATCAP1	NM_001040715
ZSCAN25	NM_001350984
ZSCAN25	NM_001350980
ZSCAN25	NM_001350983
ZSCAN25	NM_145115
ZSCAN25	NM_001350986
ZSCAN25	NM_001350982
ZSCAN25	NM_001350981
MATCAP1	NM_001369687
GABRA2	NM_001377145
GABRA2	NM_001286827
GABRA2	NM_001377144
GABRA2	NM_001330690
MATCAP1	NM_001369685
MATCAP1	NM_001369680
MATCAP1	NM_001369681
MATCAP1	NM_001369682
GABRA2	NM_001377155
AHI1	NM_001134832
ZSCAN25	NM_001350985
ZSCAN25	NM_001350979
CD96	NM_198196
CD96	NM_001410800
CD96	NM_005816
AKIRIN2	NM_018064
SYCE1	NM_130784
PIP5K1A	NM_003557
TERB2	NM_152448
SYCE1	NM_001143763
AP1M1	NM_032493
SYCE1	NM_001143764
PIP5K1A	NM_001330689
INSYN1	NM_001384353
INSYN1	NM_001039614
INSYN1	NM_001384352
INSYN1	NM_001384351
SPACA1	NM_030960
FOLR1	NM_016725
INSYN1	NM_001303254
PIP5K1A	NM_001135636
OGFOD3	NM_024648
SPRN	NM_001012508
SPRN	NM_001391974
PIP5K1A	NM_001135637
FOLR1	NM_016724
CYP3A7	NM_000765
FOLR1	NM_000802
AP1M1	NM_001130524
OGFOD3	NM_175902
PIP5K1A	NM_001135638
FOLR1	NM_016729
ATOH7	NM_145178
CDKN3	NM_001130851
GJC3	NM_181538
EXOC3L1	NM_178516
EXD1	NM_152596
EXD1	NM_001385036
EXD1	NM_001286441
CDKN3	NM_001330173
CDKN3	NM_005192
MTMR2	NM_016156
PLA2G4B	NM_001114633
PBLD	NM_022129
TPD52	NM_001387778
TPD52	NM_001387779
TPD52	NM_001387780
TPD52	NM_005079
TPD52	NM_001287144
GDAP2	NM_017686
TRO	NM_016157
PBLD	NM_001033083
E2F4	NM_001950
GDAP2	NM_001135589
TRO	NM_177556
TPD52	NM_001025253
TRO	NM_177557
NF2	NM_181833
PAICS	NM_001392010
PAICS	NM_001392011
PAICS	NM_001079525
ARHGAP5	NM_001173
PAICS	NM_001392012
PAICS	NM_001079524
PAICS	NM_006452
TEKT3	NM_031898
CLDN22	NM_001111319
RPS15	NM_001018
TSHB	NM_000549
TRO	NM_001039705
TPD52	NM_001287140
TPD52	NM_001287143
MTMR2	NM_201281
ARHGAP5	NM_001030055
RPS15	NM_001308226
HNRNPH3	NM_001322445
HNRNPH3	NM_001322434
HNRNPH3	NM_001322442
HNRNPH3	NM_001322448
HNRNPH3	NM_001322450
HNRNPH3	NM_001322453
HNRNPH3	NM_012207
HNRNPH3	NM_001322443
HNRNPH3	NM_001322446
HNRNPH3	NM_001322452
HNRNPH3	NM_001322444
HNRNPH3	NM_001322436
HNRNPH3	NM_001322447
HNRNPH3	NM_001322451
HNRNPH3	NM_001322437
HNRNPH3	NM_001322449
TRO	NM_001271184
ORC3	NM_001197259
HNRNPH3	NM_001322438
HNRNPH3	NM_001322439
HNRNPH3	NM_021644
HNRNPH3	NM_001322440
HNRNPH3	NM_001322441
DTHD1	NM_001136536
DTHD1	NM_001378435
ITGB6	NM_001282353
ITGB6	NM_001282389
ITGB6	NM_000888
DTHD1	NM_001170700
MTMR2	NM_001243571
MTMR2	NM_201278
WDR3	NM_006784
TRAPPC6A	NM_024108
TPD52	NM_001025252
ITGB6	NM_001282388
ITGB6	NM_001282355
SLC31A1	NM_001859
ORC3	NM_181837
ORC3	NM_012381
TRAPPC6A	NM_001270893
TRAPPC6A	NM_001270891
ZNF37A	NM_001324257
ZNF37A	NM_001324256
ZNF37A	NM_001324258
TRAPPC6A	NM_001270892
ZNF37A	NM_001324259
ZNF37A	NM_001007094
ZNF37A	NM_001324246
ZNF37A	NM_001324252
CDC26	NM_139286
ZNF37A	NM_001324251
ZNF37A	NM_001324250
ZNF37A	NM_001324247
ZNF37A	NM_001324253
ZNF37A	NM_001324262
ITGB6	NM_001282354
ITGB6	NM_001282390
ZNF37A	NM_001324248
ZNF37A	NM_001324249
ZNF37A	NM_003421
ZNF37A	NM_001324260
ZNF37A	NM_001178101
ZNF37A	NM_001324245
ZNF37A	NM_001324254
ZNF37A	NM_001324261
MYRFL	NM_182530
ELMO3	NM_024712
PAFAH1B2	NM_001184748
TACR2	NM_001057
SLC22A15	NM_018420
KCNMB4	NM_014505
ZNF30	NM_001099437
ZNF30	NM_001099438
PAFAH1B2	NM_002572
PAFAH1B2	NM_001309431
PAFAH1B2	NM_001184747
TPD52	NM_001287142
PAFAH1B2	NM_001184746
SRRM3	NM_001291831
SRRM3	NM_001110199
ZNF30	NM_194325
TMEM208	NM_001318217
KIAA0319	NM_001252328
YWHAG	NM_012479
MYL1	NM_079422
ZMIZ1	NM_020338
MYL1	NM_079420
TMEM208	NM_014187
SCNM1	NM_001204848
SSC4D	NM_080744
SCNM1	NM_024041
PRPF4	NM_004697
PSAP	NM_002778
PSAP	NM_001042466
PSAP	NM_001042465
PRPF4	NM_001322267
PRPF4	NM_001322266
PRPF4	NM_001244926
ZNF280D	NM_001002843
SCNM1	NM_001204856
KIAA0319	NM_001350406
KIAA0319	NM_001350409
KIAA0319	NM_001350404
KIAA0319	NM_001350410
KIAA0319	NM_001168376
PPEF1	NM_001378382
PPEF1	NM_001377986
PPEF1	NM_001378381
PPEF1	NM_006240
PPEF1	NM_152224
RNF183	NM_001371237
RNF183	NM_001387569
RNF183	NM_001371235
RNF183	NM_145051
RNF183	NM_001371236
PPEF1	NM_001389621
PPEF1	NM_001389620
PPEF1	NM_001377993
FLG	NM_002016
RNF183	NM_001371234
KIAA0319	NM_001168374
PPEF1	NM_001389624
PPEF1	NM_001377995
PPEF1	NM_001377994
RNF183	NM_001387568
PPEF1	NM_001377996
KIAA0319	NM_001350407
KIAA0319	NM_001168377
KIAA0319	NM_001350408
PPEF1	NM_152226
PPEF1	NM_001389623
KIAA0319	NM_001350403
KIAA0319	NM_014809
KIAA0319	NM_001350405
KIAA0319	NM_001168375
SUPT20HL2	NM_001136233
U2SURP	NM_001320222
U2SURP	NM_001080415
U2SURP	NM_001320220
BSPRY	NM_001317943
BSPRY	NM_017688
BSPRY	NM_001317944
ZNF254	NM_001278665
ZNF280D	NM_001288588
