genename	refseq
ASMT	NM_001171039
DHRSX	NM_145177
ASMTL	NM_004192
ASMTL	NM_001173474
ASMTL	NM_001173473
AKAP17A	NM_005088
PLCXD1	NM_001370370
PLCXD1	NM_001370372
PLCXD1	NM_001370371
PLCXD1	NM_018390
PLCXD1	NM_001370373
ZBED1	NM_004729
ZBED1	NM_001171136
ZBED1	NM_001171135
CD99	NM_001122898
CD99	NM_001321369
CD99	NM_002414
CD99	NM_001321370
CD99	NM_001321367
CD99	NM_001321368
SHOX	NM_006883
SHOX	NM_000451
CSF2RA	NM_001379154
CSF2RA	NM_001161530
CSF2RA	NM_001379153
CSF2RA	NM_001379163
CSF2RA	NM_001379164
CSF2RA	NM_001379159
CSF2RA	NM_001379162
CSF2RA	NM_001379165
CSF2RA	NM_001379161
CSF2RA	NM_006140
CSF2RA	NM_172245
CSF2RA	NM_001379160
CSF2RA	NM_001379166
CSF2RA	NM_001379158
CSF2RA	NM_001379156
CSF2RA	NM_001161532
CSF2RA	NM_001161529
CSF2RA	NM_001161531
CSF2RA	NM_001379155
CSF2RA	NM_172246
CSF2RA	NM_172249
CSF2RA	NM_001379167
CSF2RA	NM_001379169
CSF2RA	NM_172247
CSF2RA	NM_001379168
GTPBP6	NM_012227
CRLF2	NM_022148
CRLF2	NM_001012288
VAMP7	NM_005638
VAMP7	NM_001185183
VAMP7	NM_001145149
IL9R	NM_002186
IL9R	NM_176786
FRG2	NM_001005217
FRG2	NM_001286820
FRG1	NM_004477
DUX4	NM_001363820
DUX4	NM_001306068
DUX4	NM_001293798
FAM20C	NM_020223
GPR20	NM_005293
PTP4A3	NM_007079
PTP4A3	NM_032611
C8orf90	NM_001395960
MROH5	NM_207414
SHANK3	NM_001372044
ACR	NM_001097
GCGR	NM_000160
MCRIP1	NM_207368
MCRIP1	NM_001288798
MCRIP1	NM_001093767
MCRIP1	NM_001288799
PPP1R27	NM_001007533
C6orf52	NM_001388311
C6orf52	NM_001145020
C6orf52	NM_001388310
C6orf52	NM_001354357
PAK1IP1	NM_017906
TMEM14C	NM_001165258
TMEM14C	NM_016462
GCNT2	NM_145649
GCNT2	NM_001374747
GCNT2	NM_001491
GCNT2	NM_145655
ARHGEF19	NM_153213
CPLANE2	NM_030907
FBXO42	NM_018994
SZRD1	NM_001271869
SZRD1	NM_001114600
SPATA21	NM_198546
SPATA21	NM_001353349
NECAP2	NM_001145278
NECAP2	NM_018090
NECAP2	NM_001145277
PADI2	NM_007365
NBPF1	NM_001405687
NBPF1	NM_017940
BCL2L14	NM_001370269
BCL2L14	NM_001370268
BCL2L14	NM_138723
BCL2L14	NM_138722
BCL2L14	NM_030766
LRP6	NM_002336
